date,price(USD)
5/17/17,1726.73
5/18/17,1818.7
5/19/17,1897.37
5/20/17,1984.24
5/21/17,2067.03
5/22/17,2043.19
5/23/17,2191.56
5/24/17,2321.37
5/25/17,2446.24
5/26/17,2320.89
5/27/17,2196.27
5/28/17,2054.08
5/29/17,2159.43
5/30/17,2255.36
5/31/17,2187.19
6/1/17,2288.33
6/2/17,2404.03
6/3/17,2493.72
6/4/17,2547.79
6/5/17,2512.4
6/6/17,2690.84
6/7/17,2869.38
6/8/17,2720.49
6/9/17,2807.44
6/10/17,2828.14
6/11/17,2942.41
6/12/17,2953.22
6/13/17,2680.91
6/14/17,2716.88
6/15/17,2499.58
6/16/17,2469.57
6/17/17,2514.01
6/18/17,2655.35
6/19/17,2549.03
6/20/17,2591.26
6/21/17,2709.43
6/22/17,2691.03
6/23/17,2707.34
6/24/17,2738.52
6/25/17,2607.25
6/26/17,2590.57
6/27/17,2478.45
6/28/17,2553.03
6/29/17,2567.56
6/30/17,2539.24
7/1/17,2492.6
7/2/17,2436.4
7/3/17,2498.56
7/4/17,2561
7/5/17,2602.87
7/6/17,2608.1
7/7/17,2608.59
7/8/17,2520.27
7/9/17,2572.61
7/10/17,2525.25
7/11/17,2385.89
7/12/17,2332.77
7/13/17,2402.7
7/14/17,2360.59
7/15/17,2230.12
7/16/17,1991.98
7/17/17,1932.62
7/18/17,2233.52
7/19/17,2323.08
7/20/17,2269.89
7/21/17,2838.41
7/22/17,2668.63
7/23/17,2808.1
7/24/17,2732.7
7/25/17,2757.5
7/26/17,2577.77
7/27/17,2538.71
7/28/17,2679.73
7/29/17,2807.02
7/30/17,2724.39
7/31/17,2763.24
8/1/17,2871.3
8/2/17,2727.13
8/3/17,2709.56
8/4/17,2806.93
8/5/17,2897.63
8/6/17,3257.61
8/7/17,3212.78
8/8/17,3370.22
8/9/17,3420.4
8/10/17,3341.84
8/11/17,3373.82
8/12/17,3650.63
8/13/17,3880.04
8/14/17,4066.1
8/15/17,4326.99
8/16/17,4200.34
8/17/17,4384.44
8/18/17,4324.34
8/19/17,4137.75
8/20/17,4189.31
8/21/17,4090.48
8/22/17,3998.35
8/23/17,4089.01
8/24/17,4137.6
8/25/17,4332.82
8/26/17,4372.06
8/27/17,4345.1
8/28/17,4384.45
8/29/17,4389.21
8/30/17,4570.36
8/31/17,4555.59
9/1/17,4701.76
9/2/17,4901.42
9/3/17,4585.27
9/4/17,4591.63
9/5/17,4228.29
9/6/17,4376.59
9/7/17,4589.14
9/8/17,4605.16
9/9/17,4229.81
9/10/17,4229.34
9/11/17,4122.47
9/12/17,4168.88
9/13/17,4131.98
9/14/17,3875.37
9/15/17,3166.3
9/16/17,3637.75
9/17/17,3606.28
9/18/17,3591.09
9/19/17,4073.79
9/20/17,3916.36
9/21/17,3901.47
9/22/17,3628.02
9/23/17,3629.92
9/24/17,3796.15
9/25/17,3681.58
9/26/17,3928.41
9/27/17,3892.94
9/28/17,4197.13
9/29/17,4171.62
9/30/17,4166.11
10/1/17,4341.05
10/2/17,4395.81
10/3/17,4408.46
10/4/17,4319.37
10/5/17,4229.88
10/6/17,4324.46
10/7/17,4369.35
10/8/17,4429.67
10/9/17,4614.52
10/10/17,4776.21
10/11/17,4789.25
10/12/17,4829.58
10/13/17,5464.16
10/14/17,5643.53
10/15/17,5835.96
10/16/17,5687.57
10/17/17,5741.58
10/18/17,5603.82
10/19/17,5583.74
10/20/17,5708.11
10/21/17,5996.79
10/22/17,6036.66
10/23/17,6006
10/24/17,5935.52
10/25/17,5524.6
10/26/17,5747.95
10/27/17,5899.74
10/28/17,5787.82
10/29/17,5754.44
10/30/17,6114.85
10/31/17,6132.02
11/1/17,6440.97
11/2/17,6777.77
11/3/17,7087.53
11/4/17,7164.48
11/5/17,7404.52
11/6/17,7403.22
11/7/17,7023.1
11/8/17,7141.38
11/9/17,7446.83
11/10/17,7173.73
11/11/17,6618.61
11/12/17,6295.45
11/13/17,5938.25
11/14/17,6561.48
11/15/17,6634.76
11/16/17,7323.24
11/17/17,7853.57
11/18/17,7697.21
11/19/17,7766.03
11/20/17,8039.07
11/21/17,8205.74
11/22/17,8077.95
11/23/17,8232.38
11/24/17,8074.02
11/25/17,8241.71
11/26/17,8789.04
11/27/17,9352.72
11/28/17,9823.43
11/29/17,10077.4
11/30/17,9906.79
12/1/17,10198.6
12/2/17,10978.3
12/3/17,11082.7
12/4/17,11315.4
12/5/17,11685.7
12/6/17,11923.4
12/7/17,14266.1
12/8/17,17802.9
12/9/17,16523.3
12/10/17,15168.4
12/11/17,15427.4
12/12/17,16919.8
12/13/17,17500
12/14/17,16384.6
12/15/17,16601.3
12/16/17,17760.3
12/17/17,19475.8
12/18/17,19106.4
12/19/17,19118.3
12/20/17,17760.3
12/21/17,16642.4
12/22/17,15898
12/23/17,13948.7
12/24/17,14608.2
12/25/17,13995.9
12/26/17,14036.6
12/27/17,16163.5
12/28/17,15864.1
12/29/17,14695.8
12/30/17,14681.9
12/31/17,12897.7
1/1/18,14112.2
1/2/18,13625
1/3/18,14978.2
1/4/18,15270.7
1/5/18,15477.2
1/6/18,17462.1
1/7/18,17527.3
1/8/18,16476.2
1/9/18,15123.7
1/10/18,14588.5
1/11/18,14968.2
1/12/18,13453.9
1/13/18,13952.4
1/14/18,14370.8
1/15/18,13767.3
1/16/18,13836.1
1/17/18,11431.1
1/18/18,11198.8
1/19/18,11429.8
1/20/18,11656.2
1/21/18,12889.2
1/22/18,11633.1
1/23/18,10944.5
1/24/18,10903.4
1/25/18,11421.7
1/26/18,11256
1/27/18,11174.9
1/28/18,11475.3
1/29/18,11755.5
1/30/18,11306.8
1/31/18,10108.2
2/1/18,10237.3
2/2/18,9142.28
2/3/18,8852.12
2/4/18,9175.7
2/5/18,8270.54
2/6/18,7051.75
2/7/18,7755.49
2/8/18,7637.86
2/9/18,8271.84
2/10/18,8720.08
2/11/18,8616.13
2/12/18,8141.43
2/13/18,8926.72
2/14/18,8599.92
2/15/18,9488.32
2/16/18,10135.7
2/17/18,10207.5
2/18/18,11123.4
2/19/18,10552.6
2/20/18,11231.8
2/21/18,11372.2
2/22/18,10660.4
2/23/18,9937.07
2/24/18,10287.7
2/25/18,9796.42
2/26/18,9669.43
2/27/18,10393.9
2/28/18,10687.2
3/1/18,10385
3/2/18,10977.4
3/3/18,11101.9
3/4/18,11497.4
3/5/18,11532.4
3/6/18,11500.1
3/7/18,10803.9
3/8/18,9951.44
3/9/18,9414.69
3/10/18,9350.59
3/11/18,8852.78
3/12/18,9602.93
3/13/18,9173.04
3/14/18,9214.65
3/15/18,8290.76
3/16/18,8322.91
3/17/18,8321.91
3/18/18,7890.52
3/19/18,8344.12
3/20/18,8619.67
3/21/18,8937.48
3/22/18,8939.44
3/23/18,8736.25
3/24/18,8901.95
3/25/18,8612.81
3/26/18,8498.47
3/27/18,8200
3/28/18,7836.83
3/29/18,7979.07
3/30/18,7171.45
3/31/18,6892.48
4/1/18,7003.06
4/2/18,6844.86
4/3/18,7102.26
4/4/18,7456.41
4/5/18,6848.65
4/6/18,6815.96
4/7/18,6630.51
4/8/18,6919.98
4/9/18,7044.32
4/10/18,6795.44
4/11/18,6843.47
4/12/18,6955.38
4/13/18,7901.09
4/14/18,7874.67
4/15/18,7999.33
4/16/18,8337.57
4/17/18,8071.66
4/18/18,7944.43
4/19/18,8159.27
